                 l            r(l,1)            r(l,2)            r(l,3)                Vp
    2.790000000E+02    4.324551821E+01    3.305660784E+01    1.756418347E+02    9.218138379E-06
    2.800000000E+02    6.102170348E+01    4.963897169E+01    2.336665392E+02    2.119616147E-09
    2.810000000E+02    7.959123254E+01    6.038380265E+01    2.425569773E+02    3.249701881E-10
    2.820000000E+02    4.312593341E+01    8.118326068E+01    2.807194293E+01    2.451111285E+00
    2.830000000E+02    4.256377220E+01    8.228074908E+01    1.844565511E+02    1.913531084E-06
    2.840000000E+02    5.441581011E+01    2.958578169E+01    1.560088396E+02    1.011700233E-04
    2.850000000E+02    6.036356688E+01    9.873705506E+01    7.616749406E+01    9.088488262E-03
    2.860000000E+02    8.281376958E+01    5.201150179E+01    4.453566670E+01    9.346874570E-01
    2.870000000E+02    6.752368808E+01    3.007540703E+01    2.147034407E+02    3.073593098E-08
    2.880000000E+02    3.976941854E+00    4.481807649E+01    1.891471267E+02    2.054515634E-07
    2.890000000E+02    6.077221036E+01    3.297587335E+01    2.850439787E+02    1.534355358E-13
    2.900000000E+02    7.736413479E+01    8.133972287E+01    3.916107178E+02    3.769196747E-24
    2.910000000E+02    1.107482612E+01    2.371187359E+01    1.799045086E+02    1.326788649E-06
    2.920000000E+02    7.221754789E+01    3.411531150E+01    2.819001913E+02    2.523922461E-13
    2.930000000E+02    8.867445588E+01    1.855199486E+01    3.922690392E+02    1.004291107E-24
    2.940000000E+02    8.089340925E+01    7.781178355E+01    1.052027345E+02    9.040407010E-03
    2.950000000E+02    2.733595669E+01    8.704552650E+01    2.135905504E+02    1.700339203E-08
    2.960000000E+02    1.199495047E+01    8.099116087E+01    3.577341795E+02    5.251577930E-21
    2.970000000E+02    4.430551827E+01    7.794246674E+01    2.656733274E+02    5.520961137E-12
    2.980000000E+02    8.347290009E+00    4.472975433E+01    2.879601240E+02    2.196575081E-14
    2.990000000E+02    2.083866149E+01    4.436953664E+01    2.733049631E+02    9.627231610E-13
